image,H,W,roi_area,work_area,norm_mode,gamma,score_gamma,percentile,p_val,mean,std,z_k,z_val,min_cap,t_p,t_z,t_base,t_posadj,final_th,t_strong,t_weak,min_cap_used,strong_pixels,weak_pixels,binary_pixels,num_components_strong,num_components_binary,num_components_post_morph,num_components_before,num_components_after,p_diff_mean,p_diff_std,diff_mask_area,smoothed_mean,smoothed_max,smoothed_median,num_boxes_before_filters,num_boxes_after_filters,boxes,areas,fill_ratios,mean_scores,sat_means,edge_densities,diff_overlap_fracs,border_contrasts,border_grads,entropies,anisotropies,mean_fill_ratio,mean_box_score,median_entropy,median_edge_density,filter_flags,profile_name,timestamp,commit_tag,config_path,snapshot_tag
manual_original_0_20251020_113739_049258.jpg,1080,1920,349435,313216,standardized,1.25,1.25,99.75,0.07999999821186066,0.038082122802734375,0.024972887709736824,1.0,0.0630550105124712,0.12,0.07999999821186066,0.0630550105124712,0.07999999821186066,0.07999999821186066,0.12,0.12,0.09999999999999999,True,289,336,433,1,1,1,1,1,0.03325749188661575,0.014150703325867653,820,0.038082122802734375,0.22987306118011475,0.03058568574488163,1,1,"980,487,1029,531",2250,0.192444,0.148300,0.290893,0.836000,0.856813,0.150934,0.804933,4.174123,0.630811,0.19244444444444445,0.14829957485198975,4.17412309019009,0.836,,,2025-10-27 16:55:13,41062ce,./config/ROI.config,r101_os8_base_cty.pth
manual_original_0_20251020_113842_843385.jpg,1080,1920,349435,313216,standardized,1.25,1.25,99.75,0.07999999821186066,0.03946803882718086,0.024599021300673485,1.0,0.06406706012785435,0.12,0.07999999821186066,0.06406706012785435,0.07999999821186066,0.07999999821186066,0.12,0.12,0.09999999999999999,True,155,197,282,1,1,1,1,1,0.03306419774889946,0.013409021310508251,677,0.03946803882718086,0.2183236926794052,0.03258224576711655,1,0,,,,,,,,,,,,,,,,geom,,2025-10-27 16:55:15,41062ce,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_112119_612220.jpg,1080,1920,349435,313216,standardized,1.25,1.25,99.75,0.09480170365423037,0.04382392019033432,0.025369426235556602,1.0,0.06919334642589092,0.12,0.09480170365423037,0.06919334642589092,0.09480170365423037,0.09480170365423037,0.12,0.12,0.09999999999999999,True,641,737,904,1,1,1,1,1,0.04706606641411781,0.019285406917333603,1268,0.04382392019033432,0.374335378408432,0.03878705948591232,1,1,"949,482,1026,532",3978,0.227250,0.201348,0.154629,0.888889,0.920354,0.279768,0.851027,4.651365,0.802470,0.22724987430869784,0.20134760439395905,4.651365276086555,0.8888888888888888,,,2025-10-27 16:55:17,41062ce,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_112316_314459.jpg,1080,1920,349435,313216,standardized,1.25,1.25,99.75,0.3876946873962909,0.03992683067917824,0.03588983416557312,1.0,0.07581666484475136,0.12,0.3876946873962909,0.07581666484475136,0.3876946873962909,0.3876946873962909,0.3876946873962909,0.3876946873962909,0.3676946873962909,False,784,900,1333,1,1,1,1,1,0.04780277982354164,0.035548221319913864,3199,0.03992683067917824,0.5157603621482849,0.030755095183849335,1,1,"955,482,1047,536",5115,0.260606,0.403387,0.326564,0.786119,1.000000,0.482351,0.808747,3.449886,0.418166,0.2606060606060606,0.40338706970214844,3.4498860726590217,0.786119257086999,,,2025-10-27 16:55:18,41062ce,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_112341_022139.jpg,1080,1920,349435,313216,standardized,1.25,1.25,99.75,0.31748181730509056,0.03937200829386711,0.03234150633215904,1.0,0.07171351462602615,0.12,0.31748181730509056,0.07171351462602615,0.31748181730509056,0.31748181730509056,0.31748181730509056,0.31748181730509056,0.29748181730509055,False,784,898,1251,1,1,1,1,1,0.04578777402639389,0.027028897777199745,2380,0.03937200829386711,0.41042211651802063,0.03032746911048889,1,1,"1126,394,1211,442",4214,0.296868,0.337847,0.347085,0.783104,1.000000,0.374863,0.632397,3.441188,0.760216,0.2968675842429995,0.33784720301628113,3.4411880427948125,0.7831039392501187,,,2025-10-27 16:55:20,41062ce,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_112415_265400.jpg,1080,1920,349435,313216,standardized,1.25,1.25,99.75,0.2516252007335448,0.03934416547417641,0.02895982190966606,1.0,0.06830398738384247,0.12,0.2516252007335448,0.06830398738384247,0.2516252007335448,0.2516252007335448,0.2516252007335448,0.2516252007335448,0.23162520073354478,False,784,911,1225,1,1,1,1,1,0.04231672361493111,0.022297747433185577,1948,0.03934416547417641,0.35852763056755066,0.031210122630000114,1,1,"941,462,1011,524",4473,0.273865,0.271064,0.718860,0.908339,1.000000,0.241925,0.734716,4.623942,0.258848,0.27386541471048514,0.2710636556148529,4.623942028300531,0.9083389224234295,,,2025-10-27 16:55:22,41062ce,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_112443_840490.jpg,1080,1920,349435,313216,standardized,1.25,1.25,99.75,0.17696815058589707,0.03949224576354027,0.026594799011945724,1.0,0.06608704477548599,0.12,0.17696815058589707,0.06608704477548599,0.17696815058589707,0.17696815058589707,0.17696815058589707,0.17696815058589707,0.15696815058589708,False,784,951,1195,1,1,1,1,1,0.04162433743476868,0.018151666969060898,1365,0.03949224576354027,0.2889098525047302,0.03152789920568466,1,1,"1121,381,1196,438",4408,0.271098,0.201061,0.660671,0.899047,0.978243,0.133559,0.566985,4.723279,0.240730,0.27109800362976405,0.20106141269207,4.723279057456285,0.8990471869328494,,,2025-10-27 16:55:23,41062ce,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_112548_368302.jpg,1080,1920,349435,313216,standardized,1.25,1.25,99.75,0.3169233582913885,0.04124294966459274,0.03168840706348419,1.0,0.07293135672807693,0.12,0.3169233582913885,0.07293135672807693,0.3169233582913885,0.3169233582913885,0.3169233582913885,0.3169233582913885,0.2969233582913885,False,784,1175,1544,1,1,1,1,1,0.04555828124284744,0.029195591807365417,3397,0.04124294966459274,0.4034063220024109,0.03254629671573639,1,1,"955,475,1050,528",5184,0.297840,0.316441,0.160627,0.702932,1.000000,0.369915,0.795695,3.044695,0.787203,0.2978395061728395,0.31644052267074585,3.044694900287201,0.7029320987654321,,,2025-10-27 16:55:25,41062ce,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_112619_505543.jpg,1080,1920,349435,313216,standardized,1.25,1.25,99.75,0.2300373924896121,0.04085947573184967,0.028053978458046913,1.0,0.06891345418989658,0.12,0.2300373924896121,0.06891345418989658,0.2300373924896121,0.2300373924896121,0.2300373924896121,0.2300373924896121,0.21003739248961212,False,784,1053,1446,1,1,1,1,1,0.04333985224366188,0.02294635772705078,2527,0.04085947573184967,0.3122473657131195,0.03338247537612915,1,1,"1138,394,1228,444",4641,0.311571,0.232151,0.167139,0.709761,1.000000,0.247312,0.654047,3.463192,0.824562,0.31157078215901746,0.23215092718601227,3.4631917535764085,0.7097608274078863,,,2025-10-27 16:55:27,41062ce,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_112714_137414.jpg,1080,1920,349435,313216,standardized,1.25,1.25,99.75,0.43987455479800736,0.04126587510108948,0.037637557834386826,1.0,0.0789034329354763,0.12,0.43987455479800736,0.0789034329354763,0.43987455479800736,0.43987455479800736,0.43987455479800736,0.43987455479800736,0.41987455479800734,False,784,960,1403,1,1,1,1,1,0.044827356934547424,0.0346345491707325,2978,0.04126587510108948,0.5013397336006165,0.03182025998830795,1,1,"951,475,1034,528",4536,0.309303,0.433376,0.308717,0.765432,1.000000,0.472891,0.796830,3.353456,0.841117,0.30930335097001765,0.4333759844303131,3.3534564871780868,0.7654320987654321,,,2025-10-27 16:55:28,41062ce,./config/ROI.config,r101_os8_base_cty.pth
