image,H,W,roi_area,work_area,num_boxes,boxes,areas,fill_ratios,mean_scores,sat_means,edge_densities,diff_overlap_fracs,border_contrasts,border_grads,entropies,anisotropies
manual_original_1_20251020_090711_692371.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_090758_724085.jpg,1080,1920,468414,426293,2,"1364,304,1437,369|979,750,1055,823",4884;5698,0.34562;0.45718,0.68474;0.72050,0.05582;0.01211,0.84009;0.95068,0.00000;0.00000,0.03553;0.00087,0.32324;0.54174,3.12995;3.60883,0.32916;0.07470
manual_original_1_20251020_091015_644894.jpg,1080,1920,468414,426293,1,"580,690,759,808",21420,0.32246,0.78199,0.11422,0.81746,0.58202,0.15018,0.51275,4.18007,0.31434
manual_original_1_20251020_091133_060417.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_091425_463526.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_091540_226922.jpg,1080,1920,468414,426293,1,"960,820,1056,902",8051,0.34865,0.75719,0.37332,0.92672,0.54685,0.09945,0.58694,4.22449,0.19380
manual_original_1_20251020_091708_477688.jpg,1080,1920,468414,426293,1,"575,686,789,804",25585,0.34321,0.75901,0.08093,0.83854,0.08735,0.00956,0.51305,3.58941,0.50389
manual_original_1_20251020_091817_892802.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_091937_535544.jpg,1080,1920,468414,426293,1,"588,732,713,804",9198,0.35595,0.79833,0.11011,0.81833,0.82407,0.21526,0.39332,4.09777,0.65786
manual_original_1_20251020_092040_390272.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_092201_141423.jpg,1080,1920,468414,426293,1,"977,647,1099,702",6888,0.23447,0.69503,0.03257,0.94744,-1.00000,0.08047,0.69324,3.58469,0.24985
manual_original_1_20251020_092300_016273.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_092857_233241.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093004_721441.jpg,1080,1920,468414,426293,1,"931,800,1042,906",11984,0.33753,0.82678,0.12617,0.78830,0.27985,0.06668,0.53891,3.80211,0.25506
manual_original_1_20251020_093147_453152.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093246_455898.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093355_273452.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093515_393205.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093643_101825.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093744_345036.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_094223_985795.jpg,1080,1920,468414,426293,1,"568,733,681,799",7638,0.35048,0.82872,0.27073,0.78725,0.62159,0.15042,0.44669,4.18006,0.77256
manual_original_1_20251020_094358_537285.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
