image,H,W,roi_area,work_area,num_boxes,boxes,areas,fill_ratios,mean_scores,sat_means,edge_densities,diff_overlap_fracs,border_contrasts,border_grads,entropies,anisotropies
manual_original_1_20251020_090711_692371.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_090758_724085.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_091015_644894.jpg,1080,1920,468414,426293,2,"1337,581,1395,640|618,721,709,803",3540;7636,0.23305;0.28850,1.12068;1.24258,0.01106;0.18656,0.83842;0.72027,0.00000;0.95279,0.06543;0.23546,0.53335;0.44548,3.20564;3.75049,0.11851;0.03328
manual_original_1_20251020_091133_060417.jpg,1080,1920,468414,426293,1,"966,800,1080,887",10120,0.40543,1.58673,0.23621,0.83508,0.88058,0.19291,0.58284,4.15128,0.04478
manual_original_1_20251020_091425_463526.jpg,1080,1920,468414,426293,1,"1468,358,1612,496",20155,0.21737,1.17713,0.04180,0.90643,0.00000,0.00797,0.33056,2.70923,0.08003
manual_original_1_20251020_091540_226922.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_091708_477688.jpg,1080,1920,468414,426293,1,"617,738,690,798",4514,0.31369,1.34592,0.23965,0.64887,0.24929,0.01624,0.42687,2.61439,0.44172
manual_original_1_20251020_091817_892802.jpg,1080,1920,468414,426293,2,"985,768,1056,824|951,794,1043,874",4104;7533,0.27875;0.34223,1.17490;1.32927,0.11160;0.18787,0.89035;0.73065,0.45717;0.78704,0.07060;0.13140,0.62339;0.56652,3.98724;3.70682,0.36386;0.32806
manual_original_1_20251020_091937_535544.jpg,1080,1920,468414,426293,3,"1470,357,1611,494|640,739,707,794|1039,740,1112,807",19596;3808;5032,0.20632;0.24685;0.29869,1.11040;1.10826;1.04376,0.04430;0.14688;0.01807,0.89442;0.80620;0.95429,0.00000;0.99043;0.00000,0.00794;0.23974;0.00298,0.33517;0.43842;0.58216,2.72745;3.78506;3.76636,0.06627;0.51890;0.01829
manual_original_1_20251020_092040_390272.jpg,1080,1920,468414,426293,1,"944,813,1070,887",9525,0.27727,1.26411,0.16802,0.87129,0.93563,0.19041,0.56064,4.06051,0.60173
manual_original_1_20251020_092201_141423.jpg,1080,1920,468414,426293,1,"1468,358,1611,498",20304,0.20099,1.17210,0.03903,0.89327,0.00000,0.00850,0.32408,2.70263,0.07251
manual_original_1_20251020_092300_016273.jpg,1080,1920,468414,426293,2,"1331,582,1391,640|1008,820,1089,886",3599;5494,0.24590;0.24590,0.99586;1.18897,0.01990;0.07207,0.85218;0.71351,0.00000;0.92376,0.07294;0.17351,0.46694;0.60238,3.11628;2.38710,0.08963;0.74537
manual_original_1_20251020_092857_233241.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093004_721441.jpg,1080,1920,468414,426293,2,"943,806,1042,876|1028,844,1112,894",7100;4335,0.27775;0.23783,1.70825;1.27290,0.21031;0.03102,0.66577;0.84314,0.69777;0.11930,0.08957;0.02497,0.54121;0.56019,3.30651;3.74794,0.52763;0.10186
manual_original_1_20251020_093147_453152.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093246_455898.jpg,1080,1920,468414,426293,2,"1331,589,1392,640|1070,727,1128,779",3224;3127,0.26427;0.25104,1.01733;1.02869,0.01933;0.00927,0.83251;0.95619,0.00000;0.00000,0.07160;0.01768,0.50880;0.55979,3.43538;3.66411,0.24498;0.15024
manual_original_1_20251020_093355_273452.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093515_393205.jpg,1080,1920,468414,426293,2,"1326,586,1392,642|1011,813,1077,890",3819;5226,0.22702;0.20168,1.05060;1.17761,0.01010;0.08949,0.85913;0.86988,0.00000;0.44687,0.07193;0.02848,0.51494;0.62610,3.30057;4.22655,0.05190;0.39488
manual_original_1_20251020_093643_101825.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093744_345036.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_094223_985795.jpg,1080,1920,468414,426293,1,"580,742,676,794",5141,0.29839,1.11441,0.42221,0.74635,0.93742,0.23419,0.44271,3.99610,0.80242
manual_original_1_20251020_094358_537285.jpg,1080,1920,468414,426293,1,"1000,820,1123,885",8184,0.22483,1.18915,0.10749,0.91435,0.58641,0.11639,0.66021,4.32483,0.47692
