image,H,W,roi_area,work_area,num_boxes,boxes,areas,fill_ratios,mean_scores,sat_means,edge_densities,diff_overlap_fracs,border_contrasts,border_grads,entropies,anisotropies
manual_original_1_20251020_090711_692371.jpg,1080,1920,468414,426293,3,"1326,289,1435,382|709,726,789,801|652,750,726,802",10340;6156;3975,0.25242;0.29370;0.34440,0.13204;0.14223;0.15253,0.06209;0.04137;0.15705,0.89091;0.92154;0.90994,0.00000;0.00000;0.04894,0.00756;0.04949;0.06465,0.30005;0.54141;0.48876,3.13678;3.43020;3.78015,0.48434;0.33134;0.51283
manual_original_1_20251020_090758_724085.jpg,1080,1920,468414,426293,2,"1364,304,1436,369|979,750,1054,823",4818;5624,0.33645;0.45092,0.13715;0.14419,0.05605;0.01224,0.83935;0.95110,0.00000;0.00000,0.03462;0.00146,0.32257;0.54457,3.13391;3.59815,0.32966;0.07531
manual_original_1_20251020_091015_644894.jpg,1080,1920,468414,426293,1,"582,709,716,807",13365,0.36603,0.24481,0.15881,0.77381,0.84587,0.22397,0.43224,3.98345,0.29258
manual_original_1_20251020_091133_060417.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_091425_463526.jpg,1080,1920,468414,426293,3,"1087,545,1132,609|979,679,1037,737|633,762,711,810",2990;3481;3871,0.32642;0.26889;0.22139,0.12980;0.13831;0.14191,0.02323;0.02179;0.41082,0.95050;0.93163;0.86128,0.00000;0.00000;0.79347,0.01625;0.02998;0.16404,0.56363;0.63678;0.47098,3.55548;3.66744;4.04772,0.09070;0.35531;0.46403
manual_original_1_20251020_091540_226922.jpg,1080,1920,468414,426293,1,"960,820,1056,902",8051,0.34431,0.15732,0.37598,0.92672,0.55195,0.10015,0.58694,4.22655,0.19742
manual_original_1_20251020_091708_477688.jpg,1080,1920,468414,426293,1,"575,686,789,804",25585,0.34352,0.15369,0.08089,0.83854,0.08750,0.00953,0.51305,3.58864,0.50398
manual_original_1_20251020_091817_892802.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_091937_535544.jpg,1080,1920,468414,426293,1,"588,732,713,804",9198,0.36595,0.21304,0.11065,0.81833,0.82739,0.21105,0.39332,4.12520,0.64605
manual_original_1_20251020_092040_390272.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_092201_141423.jpg,1080,1920,468414,426293,1,"977,647,1099,702",6888,0.23447,0.69503,0.03257,0.94744,-1.00000,0.08047,0.69324,3.58469,0.24985
manual_original_1_20251020_092300_016273.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_092857_233241.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093004_721441.jpg,1080,1920,468414,426293,1,"931,800,1042,906",11984,0.33670,0.16623,0.12640,0.78830,0.28055,0.06674,0.53891,3.80271,0.25588
manual_original_1_20251020_093147_453152.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093246_455898.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093355_273452.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093515_393205.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093643_101825.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_093744_345036.jpg,1080,1920,468414,426293,0,,,,,,,,,,,
manual_original_1_20251020_094223_985795.jpg,1080,1920,468414,426293,1,"568,733,681,799",7638,0.35376,0.20480,0.27255,0.78725,0.62472,0.15237,0.44669,4.20810,0.78080
manual_original_1_20251020_094358_537285.jpg,1080,1920,468414,426293,1,"1022,657,1096,721",4875,0.32144,0.13683,0.03025,0.93682,0.00000,0.04319,0.70623,3.61987,0.30873
