image,H,W,roi_area,work_area,num_boxes,boxes,areas,fill_ratios,mean_scores,sat_means,edge_densities,diff_overlap_fracs,border_contrasts,border_grads,entropies,anisotropies
manual_original_0_20251020_113739_049258.jpg,1080,1920,349435,313216,0,,,,,,,,,,,
manual_original_0_20251020_113842_843385.jpg,1080,1920,349435,313216,1,"1152,367,1254,455",9167,0.23923,0.14471,0.06905,0.92931,0.09530,0.01867,0.58215,3.96563,0.33883
manual_original_1_20251020_112119_612220.jpg,1080,1920,349435,313216,1,"949,479,1032,532",4536,0.20767,0.21126,0.14656,0.90675,0.80679,0.26621,0.85002,4.66211,0.75661
manual_original_1_20251020_112316_314459.jpg,1080,1920,349435,313216,1,"948,471,1053,545",7950,0.35258,0.29602,0.24853,0.86667,0.92223,0.34144,0.83917,4.50071,0.50754
manual_original_1_20251020_112341_022139.jpg,1080,1920,349435,313216,1,"1098,374,1226,477",13416,0.32245,0.21821,0.14367,0.90735,0.51110,0.17739,0.57413,4.44300,0.56327
manual_original_1_20251020_112415_265400.jpg,1080,1920,349435,313216,1,"929,456,1015,531",6612,0.31428,0.22045,0.55182,0.92544,0.84504,0.17005,0.78271,4.81969,0.22226
manual_original_1_20251020_112443_840490.jpg,1080,1920,349435,313216,1,"1106,375,1201,444",6720,0.29345,0.18686,0.45372,0.91860,0.60041,0.08713,0.55214,4.63059,0.23011
manual_original_1_20251020_112548_368302.jpg,1080,1920,349435,313216,1,"951,470,1055,536",7035,0.34215,0.25603,0.14089,0.76645,0.94184,0.29023,0.80702,3.98703,0.56946
manual_original_1_20251020_112619_505543.jpg,1080,1920,349435,313216,1,"1099,375,1241,484",15730,0.31545,0.17783,0.06857,0.87902,0.35933,0.11018,0.57711,4.28897,0.35152
manual_original_1_20251020_112714_137414.jpg,1080,1920,349435,313216,1,"942,469,1043,533",6630,0.37134,0.34112,0.27925,0.84434,0.97807,0.38146,0.78514,4.26350,0.59629
manual_original_1_20251020_112749_653441.jpg,1080,1920,349435,313216,1,"1122,375,1241,454",9600,0.38438,0.22317,0.16578,0.89094,0.53062,0.15016,0.57199,4.43125,0.53763
manual_original_1_20251020_113004_041033.jpg,1080,1920,349435,313216,1,"946,473,1033,538",5808,0.26446,0.24650,0.51059,0.84728,0.88542,0.30243,0.82336,4.54683,0.74896
manual_original_1_20251020_113042_293678.jpg,1080,1920,349435,313216,1,"1131,361,1248,450",10620,0.27043,0.17062,0.11294,0.90697,0.44185,0.09548,0.56357,4.51048,0.64904
manual_original_1_20251020_113136_668447.jpg,1080,1920,349435,313216,0,,,,,,,,,,,
manual_original_1_20251020_113202_922076.jpg,1080,1920,349435,313216,0,,,,,,,,,,,
manual_original_1_20251020_113456_899845.jpg,1080,1920,349435,313216,1,"924,469,1041,538",8260,0.29613,0.21137,0.25478,0.77579,0.76860,0.16350,0.79910,4.43363,0.68485
manual_original_1_20251020_113530_426947.jpg,1080,1920,349435,313216,1,"1103,380,1263,472",14973,0.27249,0.17249,0.13680,0.87811,0.36544,0.06891,0.60948,4.05607,0.56777
manual_original_1_20251020_113617_654836.jpg,1080,1920,349435,313216,1,"951,480,1026,542",4788,0.25877,0.22769,0.21507,0.84419,0.78450,0.23811,0.80989,4.80141,0.60265
manual_original_1_20251020_113646_232508.jpg,1080,1920,349435,313216,1,"1143,369,1228,454",7396,0.24851,0.18664,0.16796,0.84465,0.49782,0.12249,0.58098,4.50594,0.60759
manual_original_1_20251020_114032_177708.jpg,1080,1920,349435,313216,0,,,,,,,,,,,
manual_original_1_20251020_115459_359020.jpg,1080,1920,349435,313216,1,"1159,364,1239,451",7128,0.27469,0.15070,0.04048,0.93238,0.17518,0.03909,0.57458,4.14811,0.06497
manual_original_1_20251020_115602_793522.jpg,1080,1920,349435,313216,1,"1147,369,1214,454",5848,0.20930,0.14084,0.19037,0.91604,0.29085,0.01388,0.56093,4.34878,0.27581
